year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2017,3,1,86.0 B,Gates,Bill,Bill Gates,1955-10-28,61.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2017,3,2,75.6 B,Buffett,Warren,Warren Buffett,1930-08-30,86.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Increased
2017,3,3,72.8 B,Bezos,Jeff,Jeff Bezos,1964-01-12,53.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2017,3,4,71.3 B,Ortega,Amancio,Amancio Ortega,1936-03-28,80.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2017,3,5,56.0 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,32.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2017,3,6,54.5 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,77.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Increased
2017,3,7,52.2 B,Ellison,Larry,Larry Ellison,1944-08-17,72.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2017,3,8,48.3 B,Koch,Charles,Charles Koch,1935-11-01,81.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2017,3,8,48.3 B,Koch,David,David Koch,1940-05-03,76.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2017,3,10,47.5 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,75.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2017,3,11,41.5 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,68.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2017,3,12,40.7 B,Page,Larry,Larry Page,1973-03-26,43.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2017,3,13,39.8 B,Brin,Sergey,Sergey Brin,1973-08-21,43.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,President,True,Increased
2017,3,14,39.5 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,94.0,Female,France,,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2017,3,15,34.1 B,Walton,S. Robson,S. Robson Walton,1944-10-27,72.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2017,3,16,34.0 B,Walton,Jim,Jim Walton,1948-06-07,68.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2017,3,17,33.8 B,Walton,Alice,Alice Walton,1949-10-07,67.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2017,3,18,31.3 B,Wang,Jianlin,Wang Jianlin,1954-10-01,62.0,Male,China,China,Beijing,Real Estate,['Real Estate'],Dalian Wanda Group,Chairman,True,Increased
2017,3,19,31.2 B,Li,Ka-shing,Li Ka-shing,1928-06-13,88.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2017,3,20,30.4 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,83.0,Male,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],Las Vegas Sands,Chairman and CEO,True,Increased
2017,3,21,30.0 B,Ballmer,Steve,Steve Ballmer,1956-03-24,60.0,Male,United States,United States,Hunts Point,Technology,['Technology'],Microsoft,CEO,True,Increased
2017,3,22,29.2 B,Lemann,Jorge Paulo,Jorge Paulo Lemann & family,1939-08-26,77.0,Male,Brazil,Switzerland,zurich,Food and Beverage,['Food and Beverage'],,"Investor, Philanthropist",True,Increased
2017,3,23,28.3 B,Ma,Jack,Jack Ma,1964-09-10,52.0,Male,China,China,Hangzhou,Technology,['Technology'],Alibaba Group,Founder and Executive Chairman,True,Increased
2017,3,24,27.2 B,Albrecht Jr.,Beate Heister & Karl,Beate Heister & Karl Albrecht Jr.,,65.0,,Germany,Germany,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2017,3,24,27.2 B,Thomson,David,David Thomson & family,1957-06-12,59.0,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters,Chairman,False,Increased
2017,3,26,27.0 B,Mars,Jacqueline,Jacqueline Mars,1939-10-10,77.0,Female,United States,United States,The Plains,Food and Beverage,['Food and Beverage'],,,False,Increased
2017,3,26,27.0 B,Mars,John,John Mars,1935-10-15,81.0,Male,United States,United States,Jackson,Food and Beverage,['Food and Beverage'],,,False,Increased
2017,3,28,26.2 B,Knight,Phil,Phil Knight & family,1938-02-24,79.0,Male,United States,United States,Hillsboro,Fashion & Retail,['Fashion & Retail'],Nike,Chairman,True,Increased
2017,3,29,25.2 B,Fissolo,Maria Franca,Maria Franca Fissolo,1935-01-01,82.0,Female,Italy,Monaco,Monaco,Food and Beverage,['Food and Beverage'],,,False,Increased
2017,3,29,25.2 B,Soros,George,George Soros,1930-08-12,86.0,Male,United States,United States,Katonah,Finance and Investments,['Finance and Investments'],Soros Fund Management LLC,Founder,True,Increased
2017,3,31,24.9 B,Ma,Huateng,Ma Huateng,1971-10-01,45.0,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Increased
2017,3,32,24.4 B,Lee,Shau Kee,Lee Shau Kee,1928-01-29,89.0,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Increased
2017,3,33,23.2 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,59.0,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Founder and Chairman,False,Increased
2017,3,34,21.2 B,Son,Masayoshi,Masayoshi Son,1957-08-11,59.0,Male,Japan,Japan,Tokyo,Telecom,['Telecom'],Softbank,CEO,True,Increased
2017,3,35,21.1 B,Kristiansen,Kjeld Kirk,Kjeld Kirk Kristiansen,1947-12-27,69.0,Male,Denmark,Denmark,Billund,Manufacturing,['Manufacturing'],,,False,Increased
2017,3,36,20.7 B,Schaeffler,Georg,Georg Schaeffler,1964-10-19,52.0,Male,Germany,Germany,Herzogenaurach,Automotive,['Automotive'],,Entrepreneur,False,Increased
2017,3,37,20.5 B,Safra,Joseph,Joseph Safra,1939-01-01,78.0,Male,Brazil,Brazil,Sao Paulo,Finance and Investments,['Finance and Investments'],,,True,Increased
2017,3,38,20.4 B,Dell,Michael,Michael Dell,1965-02-23,52.0,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,True,Increased
2017,3,38,20.4 B,Klatten,Susanne,Susanne Klatten,1962-04-28,54.0,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,False,Increased
2017,3,40,20.0 B,Blavatnik,Len,Len Blavatnik,1957-06-01,59.0,Male,United States,United Kingdom,London,Diversified,['Diversified'],,,True,Increased
2017,3,40,20.0 B,Powell Jobs,Laurene,Laurene Powell Jobs & family,1963-11-06,53.0,Female,United States,United States,Palo Alto,,,Emerson Collective,"Investor, Philanthropist",False,Increased
2017,3,42,19.9 B,Allen,Paul,Paul Allen,1953-01-21,64.0,Male,United States,United States,Mercer Island,Technology,['Technology'],,,True,Increased
2017,3,43,19.6 B,Persson,Stefan,Stefan Persson,1947-10-04,69.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&M,Chairman,False,Decreased
2017,3,44,18.8 B,Albrecht,Theo,"Theo Albrecht, Jr. & family",1951-01-01,66.0,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2017,3,45,18.7 B,Alsaud,Prince Alwaleed Bin Talal,Prince Alwaleed Bin Talal Alsaud,1955-03-07,62.0,Male,Saudi Arabia,Saudi Arabia,Riyadh,Finance and Investments,['Finance and Investments'],,,True,Increased
2017,3,46,18.4 B,Mikhelson,Leonid,Leonid Mikhelson,1955-08-11,61.0,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2017,3,47,18.3 B,Ergen,Charles,Charles Ergen,1953-03-01,64.0,Male,United States,United States,Denver,Media & Entertainment,['Media & Entertainment'],DISH Network,Founder and Chairman,True,Increased
2017,3,47,18.3 B,Quandt,Stefan,Stefan Quandt,1966-05-09,50.0,Male,Germany,Germany,Frankfurt,Automotive,['Automotive'],,,False,Increased
2017,3,49,18.0 B,Simons,James,James Simons,1938-04-25,78.0,Male,United States,United States,East Setauket,Finance and Investments,['Finance and Investments'],Renaissance Technologies Corp.,Founder,True,Increased
2017,3,50,17.9 B,Del Vecchio,Leonardo,Leonardo Del Vecchio & family,1935-05-22,81.0,Male,Italy,Italy,Milan,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2017,3,51,17.5 B,Mordashov,Alexey,Alexey Mordashov,1965-09-26,51.0,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2017,3,52,17.3 B,Ding,William,William Ding,1971-10-01,45.0,Male,China,China,Guangzhou,Technology,['Technology'],Netease,Founder and CEO,True,Increased
2017,3,53,17.0 B,Schwarz,Dieter,Dieter Schwarz,1939-09-24,77.0,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2017,3,54,16.8 B,Dalio,Ray,Ray Dalio,1949-08-08,67.0,Male,United States,United States,Greenwich,Finance and Investments,['Finance and Investments'],Bridgewater Associates,Founder & Co-Chief Investment Officer,True,Increased
2017,3,55,16.6 B,Icahn,Carl,Carl Icahn,1936-02-16,81.0,Male,United States,United States,New York,Finance and Investments,['Finance and Investments'],Icahn Capital Management,Founder,True,Decreased
2017,3,56,16.4 B,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,66.0,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],ArcelorMittal (ADR),Chairman and CEO,False,Increased
2017,3,57,16.1 B,Dassault,Serge,Serge Dassault & family,1925-04-04,91.0,Male,France,France,Paris,Diversified,['Diversified'],,,False,Increased
2017,3,57,16.1 B,Lisin,Vladimir,Vladimir Lisin,1956-05-07,60.0,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2017,3,59,16.0 B,Timchenko,Gennady,Gennady Timchenko,1952-11-09,64.0,Male,Russia,Switzerland,Geneva,Energy,['Energy'],,,True,Increased
2017,3,60,15.9 B,Wang,Wei,Wang Wei,1970-01-01,47.0,Male,China,China,Shenzhen,Service,['Service'],SF Express,Chairman,True,Increased
2017,3,60,15.9 B,Yanai,Tadashi,Tadashi Yanai & family,1949-02-07,68.0,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2017,3,62,15.8 B,Sirivadhanabhakdi,Charoen,Charoen Sirivadhanabhakdi,1944-05-02,72.0,Male,Thailand,Thailand,Bangkok,Food and Beverage,['Food and Beverage'],,,True,Increased
2017,3,63,15.7 B,Pinault,Francois,François Pinault & family,1936-08-21,80.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2017,3,64,15.4 B,Hinduja,,Hinduja family,,,Male,United Kingdom,United Kingdom,London,Diversified,['Diversified'],,,False,Increased
2017,3,65,15.3 B,Reuben,David & Simon,David Reuben,1938-09-01,,Male,United Kingdom,United Kingdom,London,Real Estate,['Real Estate'],,,True,Increased
2017,3,66,15.2 B,Bren,Donald,Donald Bren,1932-05-11,84.0,Male,United States,United States,Newport Beach,Real Estate,['Real Estate'],Irvine Company,Chairman,True,Increased
2017,3,66,15.2 B,Usmanov,Alisher,Alisher Usmanov,1953-09-09,63.0,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],Metalloinvest,Founder,True,Increased
2017,3,68,15.1 B,Lee,Kun-Hee,Lee Kun-Hee,1942-01-09,75.0,Male,South Korea,South Korea,Seoul,Diversified,['Diversified'],Samsung Electronics,Chairman,False,Increased
2017,3,69,15.0 B,Kwok,Thomas & Raymond,Thomas & Raymond Kwok,,,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,False,Increased
2017,3,69,15.0 B,Lau,Joseph,Joseph Lau,1951-07-21,65.0,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Increased
2017,3,69,15.0 B,Rinehart,Gina,Gina Rinehart,1954-02-09,63.0,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],Hancock Prospecting,Executive Chairman,False,Increased
2017,3,72,14.9 B,Premji,Azim,Azim Premji,1945-07-24,71.0,Male,India,India,Bangalore,Technology,['Technology'],Wipro Limited (ADR),Chairman,False,Decreased
2017,3,73,14.8 B,Telles,Marcel Herrmann,Marcel Herrmann Telles,1950-01-01,67.0,Male,Brazil,Brazil,Sao Paulo,Food and Beverage,['Food and Beverage'],,,True,Increased
2017,3,74,14.5 B,Alekperov,Vagit,Vagit Alekperov,1950-09-01,66.0,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Increased
2017,3,75,14.4 B,Fridman,Mikhail,Mikhail Fridman,1964-04-21,52.0,Male,Russia,United Kingdom,London,Energy,['Energy'],,,True,Increased
2017,3,75,14.4 B,Johnson,Abigail,Abigail Johnson,1961-12-19,55.0,Female,United States,United States,Milton,Finance and Investments,['Finance and Investments'],Fidelity Investments,President-CEO,False,Increased
2017,3,77,14.3 B,Mistry,Pallonji,Pallonji Mistry,1929-06-01,87.0,Male,Ireland,India,Mumbai,Construction & Engineering,['Construction & Engineering'],,,False,Increased
2017,3,77,14.3 B,Potanin,Vladimir,Vladimir Potanin,1961-01-03,56.0,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2017,3,79,14.0 B,Wang,Wenyin,Wang Wenyin,1968-01-01,49.0,Male,China,China,Shenzhen,Metals & Mining,['Metals & Mining'],Amer International Group Company Limited,Chairman,True,Increased
