year,month,rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
2017,3,1,86.0 ,Bill Gates,61.0,Male,United States,Medina,Technology,True,Increased
2017,3,2,75.6 ,Warren Buffett,86.0,Male,United States,Omaha,Finance and Investments,True,Increased
2017,3,3,72.8 ,Jeff Bezos,53.0,Male,United States,Seattle,Technology,True,Increased
2017,3,4,71.3 ,Amancio Ortega,80.0,Male,Spain,La Coruna,Fashion & Retail,True,Increased
2017,3,5,56.0 ,Mark Zuckerberg,32.0,Male,United States,Palo Alto,Technology,True,Increased
2017,3,6,54.5 ,Carlos Slim Helu & family,77.0,Male,Mexico,Mexico City,Telecom,True,Increased
2017,3,7,52.2 ,Larry Ellison,72.0,Male,United States,Woodside,Technology,True,Increased
2017,3,8,48.3 ,Charles Koch,81.0,Male,United States,Wichita,Diversified,False,Increased
2017,3,8,48.3 ,David Koch,76.0,Male,United States,New York,Diversified,False,Increased
2017,3,10,47.5 ,Michael Bloomberg,75.0,Male,United States,New York,Media & Entertainment,True,Increased
2017,3,11,41.5 ,Bernard Arnault & family,68.0,Male,France,Paris,Fashion & Retail,False,Increased
2017,3,12,40.7 ,Larry Page,43.0,Male,United States,Palo Alto,Technology,True,Increased
2017,3,13,39.8 ,Sergey Brin,43.0,Male,United States,Los Altos,Technology,True,Increased
2017,3,14,39.5 ,Liliane Bettencourt & family,94.0,Female,France,,Fashion & Retail,False,Increased
2017,3,15,34.1 ,S. Robson Walton,72.0,Male,United States,Bentonville,Fashion & Retail,False,Increased
2017,3,16,34.0 ,Jim Walton,68.0,Male,United States,Bentonville,Fashion & Retail,False,Increased
2017,3,17,33.8 ,Alice Walton,67.0,Female,United States,Fort Worth,Fashion & Retail,False,Increased
2017,3,18,31.3 ,Wang Jianlin,62.0,Male,China,Beijing,Real Estate,True,Increased
2017,3,19,31.2 ,Li Ka-shing,88.0,Male,Hong Kong,Hong Kong,Diversified,True,Increased
2017,3,20,30.4 ,Sheldon Adelson,83.0,Male,United States,Las Vegas,Gambling & Casinos,True,Increased
2017,3,21,30.0 ,Steve Ballmer,60.0,Male,United States,Hunts Point,Technology,True,Increased
2017,3,22,29.2 ,Jorge Paulo Lemann & family,77.0,Male,Brazil,zurich,Food and Beverage,True,Increased
2017,3,23,28.3 ,Jack Ma,52.0,Male,China,Hangzhou,Technology,True,Increased
