rank,net_worth,full_name,age,gender,country_of_citizenship,business_category,self_made,wealth_status
1,211,Bernard Arnault & family,74,1,14,3,0,3
2,180,Elon Musk,51,1,28,10,1,1
3,114,Jeff Bezos,59,1,28,1,1,1
4,107,Larry Ellison,78,1,28,1,1,3
5,106,Warren Buffett,92,1,28,0,1,1
6,104,Bill Gates,67,1,28,1,1,1
7,94,Michael Bloomberg,81,1,28,9,1,3
8,93,Carlos Slim Helu & family,83,1,2,16,1,3
9,83,Mukesh Ambani,65,1,26,6,0,1
10,80,Steve Ballmer,67,1,28,1,1,1
11,80,Francoise Bettencourt Meyers & family,69,0,14,3,0,3
12,79,Larry Page,50,1,28,1,1,1
13,77,Amancio Ortega,87,1,8,3,1,3
14,76,Sergey Brin,49,1,28,1,1,1
15,68,Zhong Shanshan,68,1,27,5,1,3
16,64,Mark Zuckerberg,38,1,28,1,1,1
17,59,Charles Koch,87,1,28,6,0,1
17,59,Julia Koch & family,60,0,28,6,0,1
19,58,Jim Walton,74,1,28,3,0,1
20,57,Rob Walton,78,1,28,3,0,1
21,56,Alice Walton,73,0,28,3,0,1
22,54,David Thomson & family,65,1,22,9,0,3
23,50,Michael Dell,58,1,28,1,1,1
24,47,Gautam Adani,60,1,26,6,1,1
25,45,Phil Knight & family,85,1,28,3,1,1
26,45,Zhang Yiming,39,1,27,1,1,1
27,42,Dieter Schwarz,83,1,25,3,0,1
28,40,François Pinault & family,86,1,14,3,1,1
29,39,Klaus-Michael Kuehne,85,1,25,14,0,3
30,38,Giovanni Ferrero,58,1,21,5,0,3
31,38,Jacqueline Mars,83,0,28,5,0,3
31,38,John Mars,87,1,28,5,0,3
34,35,Ma Huateng,51,1,27,1,1,1
35,35,Miriam Adelson & family,77,0,28,17,0,3
35,35,Ken Griffin,54,1,28,0,1,3
38,33,Robin Zeng,54,1,23,10,1,1
39,32,Tadashi Yanai & family,74,1,13,3,1,3
40,32,Len Blavatnik,65,1,28,6,1,1
41,31,Alain Wertheimer,74,1,14,3,0,3
41,31,Gerard Wertheimer,72,1,14,3,0,3
45,30,Colin Zheng Huang,43,1,27,1,1,3
46,29,Reinhold Wuerth & family,87,1,25,2,1,3
47,29,Lee Shau Kee,95,1,23,7,1,1
48,28,Jeff Yass,64,1,28,0,1,3
49,28,Jim Simons,84,1,28,0,1,1
50,27,Stephen Schwarzman,76,1,28,0,1,1
51,27,Susanne Klatten,60,0,25,10,0,3
52,27,Gina Rinehart,69,0,17,11,0,1
53,26,William Lei Ding,51,1,27,1,1,3
54,26,Germán Larrea Mota Velasco & family,69,1,2,11,0,1
55,25,Shiv Nadar,77,1,26,1,1,1
56,25,Low Tuck Kwong,74,1,6,8,1,3
57,25,Thomas Peterffy,78,1,28,0,1,3
58,25,Andrey Melnichenko & family,51,1,24,11,1,3
59,24,Stefan Quandt,56,1,25,10,0,3
60,24,MacKenzie Scott,52,0,28,1,0,1
61,24,R. Budi Hartono,82,1,6,0,0,3
62,23,Vladimir Potanin,62,1,24,11,1,3
63,23,Jack Ma,58,1,27,1,1,3
64,23,He Xiangjian & family,80,1,27,2,1,1
65,23,Iris Fontbona & family,80,0,0,11,0,3
65,23,Michael Hartono,83,1,6,2,0,3
67,22,James Ratcliffe,70,1,19,2,1,3
68,22,Cyrus Poonawalla,81,1,26,4,0,1
69,22,Masayoshi Son,65,1,13,16,1,3
70,22,Vladimir Lisin,66,1,24,11,1,3
71,22,Emmanuel Besnier,52,1,14,5,0,1
72,21,Abigail Johnson,61,0,28,0,0,3
72,21,Leonid Mikhelson & family,67,1,24,8,1,3
74,21,Lukas Walton,36,1,28,3,0,3
