rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
1,211,Bernard Arnault & family,74,Male,France,Paris,Fashion & Retail,False,Increased
2,180,Elon Musk,51,Male,United States,Austin,Automotive,True,Decreased
3,114,Jeff Bezos,59,Male,United States,Medina,Technology,True,Decreased
4,107,Larry Ellison,78,Male,United States,Lanai,Technology,True,Increased
5,106,Warren Buffett,92,Male,United States,Omaha,Finance & Investments,True,Decreased
6,104,Bill Gates,67,Male,United States,Medina,Technology,True,Decreased
7,94,Michael Bloomberg,81,Male,United States,New York,Media & Entertainment,True,Increased
8,93,Carlos Slim Helu & family,83,Male,Mexico,Mexico City,Telecom,True,Increased
9,83,Mukesh Ambani,65,Male,India,Mumbai,Diversified,False,Decreased
10,80,Steve Ballmer,67,Male,United States,Hunts Point,Technology,True,Decreased
11,80,Francoise Bettencourt Meyers & family,69,Female,France,Paris,Fashion & Retail,False,Increased
12,79,Larry Page,50,Male,United States,Palo Alto,Technology,True,Decreased
13,77,Amancio Ortega,87,Male,Spain,La Coruna,Fashion & Retail,True,Increased
14,76,Sergey Brin,49,Male,United States,Los Altos,Technology,True,Decreased
15,68,Zhong Shanshan,68,Male,China,Hangzhou,Food & Beverage,True,Increased
16,64,Mark Zuckerberg,38,Male,United States,Palo Alto,Technology,True,Decreased
17,59,Charles Koch,87,Male,United States,Wichita,Diversified,False,Decreased
17,59,Julia Koch & family,60,Female,United States,New York,Diversified,False,Decreased
19,58,Jim Walton,74,Male,United States,Bentonville,Fashion & Retail,False,Decreased
20,57,Rob Walton,78,Male,United States,Bentonville,Fashion & Retail,False,Decreased
21,56,Alice Walton,73,Female,United States,Fort Worth,Fashion & Retail,False,Decreased
22,54,David Thomson & family,65,Male,Canada,Toronto,Media & Entertainment,False,Increased
23,50,Michael Dell,58,Male,United States,Austin,Technology,True,Decreased
24,47,Gautam Adani,60,Male,India,Ahmedabad,Diversified,True,Decreased
25,45,Phil Knight & family,85,Male,United States,Hillsboro,Fashion & Retail,True,Decreased
26,45,Zhang Yiming,39,Male,China,Beijing,Technology,True,Decreased
